               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,             0.05532,            0.033361,           0.0040391,             0.62814,             0.53998,             0.54663,             0.20781,            0.062379,            0.018641,            0.006592,           0.0095842,           0.0095842,           0.0095842
                  86,            0.055994,            0.034632,           0.0036581,             0.56225,             0.54866,             0.51824,             0.21992,            0.061576,             0.02049,           0.0071163,           0.0095793,           0.0095793,           0.0095793
                  87,            0.056274,            0.035963,           0.0042338,             0.48504,              0.5072,             0.46244,             0.17138,            0.062205,            0.020445,           0.0078007,           0.0095743,           0.0095743,           0.0095743
                  88,            0.056791,            0.037499,           0.0039833,             0.56864,             0.49689,             0.42928,              0.1667,            0.063869,            0.019445,           0.0099514,           0.0095694,           0.0095694,           0.0095694
                  89,            0.056735,            0.035391,           0.0042726,              0.6189,             0.49085,             0.49823,              0.2068,            0.058894,             0.01868,            0.010201,           0.0095644,           0.0095644,           0.0095644
                  90,            0.056681,            0.033062,           0.0039995,             0.61914,             0.56308,             0.56946,             0.25345,            0.057777,            0.017977,            0.010801,           0.0095595,           0.0095595,           0.0095595
                  91,            0.055034,            0.035454,            0.004014,             0.74469,             0.53108,             0.59388,             0.26554,             0.05878,            0.017502,            0.012822,           0.0095545,           0.0095545,           0.0095545
                  92,            0.055546,            0.033316,            0.003788,             0.68371,             0.51395,             0.53255,             0.22222,            0.062752,            0.017571,            0.012923,           0.0095496,           0.0095496,           0.0095496
                  93,            0.055842,            0.036032,           0.0037807,             0.68158,             0.52136,             0.55566,             0.24963,            0.059087,            0.017031,           0.0093033,           0.0095446,           0.0095446,           0.0095446
                  94,            0.054134,            0.033451,           0.0037202,              0.6708,             0.50124,             0.53971,             0.23867,            0.059402,            0.018185,            0.006934,           0.0095397,           0.0095397,           0.0095397
                  95,            0.055306,            0.035168,           0.0039282,             0.73402,             0.57205,             0.61248,             0.28862,            0.056736,            0.017535,           0.0064526,           0.0095347,           0.0095347,           0.0095347
                  96,            0.054009,            0.036418,           0.0032913,             0.53293,             0.58574,             0.56457,               0.278,            0.056733,            0.017809,            0.004739,           0.0095298,           0.0095298,           0.0095298
                  97,            0.053332,            0.033692,           0.0039659,             0.68059,             0.58396,             0.61664,             0.27668,            0.058103,            0.017332,           0.0075542,           0.0095248,           0.0095248,           0.0095248
                  98,            0.052564,            0.034371,           0.0036141,             0.54276,             0.53856,             0.48592,             0.18353,            0.063859,            0.019707,           0.0064777,           0.0095198,           0.0095198,           0.0095198
                  99,            0.052657,             0.03451,           0.0035922,             0.53553,             0.59309,             0.56398,             0.26545,            0.056171,            0.019616,           0.0070047,           0.0095149,           0.0095149,           0.0095149
                 100,            0.054258,            0.033074,           0.0040337,             0.80668,             0.55717,             0.61777,             0.28717,            0.058129,            0.017205,           0.0076971,             0.00951,             0.00951,             0.00951
                 101,            0.054405,            0.034069,           0.0034395,             0.68199,             0.54522,             0.59386,             0.29597,            0.057761,            0.017546,           0.0073351,            0.009505,            0.009505,            0.009505
                 102,            0.053099,            0.034738,           0.0034504,             0.73445,             0.54238,              0.6317,             0.28361,            0.056058,            0.017755,           0.0070049,              0.0095,              0.0095,              0.0095
                 103,            0.053422,            0.034968,           0.0032912,             0.70362,             0.52887,             0.59057,             0.27893,            0.056854,            0.016952,           0.0092381,           0.0094951,           0.0094951,           0.0094951
                 104,            0.052589,            0.032802,           0.0033793,             0.74644,              0.5432,             0.63014,             0.31658,            0.057622,            0.017295,           0.0088284,           0.0094902,           0.0094902,           0.0094902
                 105,            0.052573,            0.032459,            0.003603,             0.70621,             0.55689,             0.61502,             0.30219,            0.054937,            0.017098,             0.01003,           0.0094852,           0.0094852,           0.0094852
                 106,            0.052699,            0.033058,           0.0032274,             0.69008,             0.49236,             0.55508,             0.25854,            0.059132,            0.018171,            0.012427,           0.0094803,           0.0094803,           0.0094803
                 107,            0.051987,            0.032208,           0.0033461,             0.81942,             0.51171,             0.60899,             0.30257,            0.058323,            0.016168,           0.0091522,           0.0094753,           0.0094753,           0.0094753
                 108,            0.051237,            0.032023,           0.0037241,             0.73025,             0.62268,             0.65528,             0.32469,            0.056162,            0.016135,           0.0074318,           0.0094704,           0.0094704,           0.0094704
                 109,             0.05113,            0.035402,           0.0028767,             0.50775,             0.54451,             0.53318,             0.25166,              0.0599,            0.017614,           0.0099907,           0.0094654,           0.0094654,           0.0094654
